RR,1
6E49,106725,1631477,-80,1596,0
695F,106731,1631483,-82,3300,0
696C,106736,1631489,-80,2172,0
6E02,106742,1631494,-80,745,0
6E49,106748,1631500,-80,1624,0
695F,106754,1631506,-81,3301,0
696C,106759,1631511,-80,2153,0
6E02,106765,0,0,ERR,1
6E49,106770,1631522,-80,1681,0
695F,106776,1631528,-81,3282,0
696C,106782,1631534,-80,2172,0
6E02,106787,0,0,ERR,1
6E49,106792,1631544,-80,1662,0
695F,106798,1631550,-81,3292,0
696C,106804,1631556,-80,2172,0
6E02,106809,0,0,ERR,1
6E49,106814,1631567,-80,1662,0
695F,106820,1631572,-81,3319,0
696C,106826,1631578,-80,2134,0
6E02,106833,0,0,ERR,1
6E49,106838,1631590,-80,1671,0
695F,106844,1631596,-81,3282,0
696C,106850,1631602,-80,2162,0
6E02,106855,1631607,-80,707,0
6E49,106861,1631613,-80,1615,0
695F,106867,1631619,-81,3292,0
696C,106872,1631625,-80,2144,0
6E02,106878,1631630,-80,717,0
6E49,106884,1631636,-80,1634,0
695F,106890,1631642,-81,3301,0
696C,106895,1631647,-80,2162,0
6E02,106901,1631653,-80,689,0
6E49,106907,1631659,-80,1643,0
695F,106912,1631665,-82,3292,0
696C,106918,1631670,-80,2191,0
6E02,106924,1631676,-80,698,0
6E49,106930,1631682,-81,1634,0
695F,106935,1631687,-81,3328,0
696C,106941,1631693,-80,2162,0
6E02,106947,0,0,ERR,1
6E49,106952,1631704,-80,1624,0
695F,106958,1631710,-81,3310,0
696C,106963,1631715,-80,2162,0
6E02,106969,0,0,ERR,1
6E49,106974,0,0,ERR,1
695F,106979,1631731,-82,3282,0
696C,106985,1631737,-80,2144,0
6E02,106992,0,0,ERR,1
6E49,106997,1631749,-80,1662,0
695F,107003,1631755,-81,3300,0
696C,107008,1631761,-80,2153,0
6E02,107014,1631766,-80,736,0
6E49,107020,1631772,-80,1615,0
695F,107026,1631778,-81,3263,0
696C,107031,1631783,-80,2134,0
6E02,107037,0,0,ERR,1
6E49,107042,1631794,-80,1624,0
695F,107048,1631800,-81,3301,0
696C,107054,1631806,-80,2191,0
6E02,107059,0,0,ERR,1
6E49,107064,1631816,-80,1643,0
695F,107070,1631822,-81,3300,0
696C,107076,1631828,-80,2153,0
6E02,107081,0,0,ERR,1
6E49,107086,1631839,-81,1662,0
695F,107092,1631844,-81,3300,0
696C,107098,1631850,-80,2181,0
6E02,107105,0,0,ERR,1
6E49,107110,1631862,-80,1671,0
695F,107116,1631868,-81,3292,0
696C,107122,1631874,-80,2153,0
6E02,107127,1631879,-80,670,0
6E49,107133,1631885,-80,1596,0
695F,107139,1631891,-81,3301,0
696C,107144,1631897,-80,2172,0
6E02,107150,1631902,-80,679,0
6E49,107156,1631908,-80,1652,0
695F,107162,1631914,-82,3292,0
696C,107167,1631919,-80,2181,0
6E02,107173,0,0,ERR,1
6E49,107178,1631930,-80,1671,0
695F,107184,1631936,-81,3310,0
696C,107190,1631942,-80,2162,0
6E02,107195,0,0,ERR,1
6E49,107200,1631952,-80,1596,0
695F,107206,1631958,-81,3292,0
696C,107212,1631964,-80,2144,0
6E02,107217,1631970,-80,717,0
6E49,107223,1631975,-80,1605,0
695F,107229,1631981,-81,3301,0
696C,107235,1631987,-80,2172,0
6E02,107240,1631992,-80,679,0
6E49,107246,1631998,-80,1587,0
695F,107252,1632004,-82,3300,0
696C,107258,1632010,-80,2134,0
6E02,107263,1632015,-80,717,0
6E49,107269,1632021,-80,1605,0
695F,107275,1632027,-81,3282,0
696C,107280,1632032,-80,2181,0
6E02,107286,1632038,-80,679,0
6E49,107292,1632044,-80,1662,0
695F,107298,1632050,-81,3282,0
696C,107303,1632055,-80,2134,0
6E02,107309,1632061,-80,754,0
6E49,107315,1632067,-81,1615,0
695F,107320,1632072,-81,3300,0
696C,107326,1632078,-80,2172,0
6E02,107332,1632084,-80,698,0
6E49,107338,1632090,-80,1671,0
695F,107343,1632095,-81,3310,0
696C,107349,1632101,-80,2153,0
6E02,107356,0,0,ERR,1
6E49,107361,1632113,-80,1615,0
695F,107367,1632119,-81,3301,0
696C,107373,1632125,-80,2181,0
6E02,107378,0,0,ERR,1
6E49,107383,0,0,ERR,1
695F,107388,1632140,-81,3310,0
696C,107394,1632146,-80,2162,0
6E02,107400,0,0,ERR,1
6E49,107405,0,0,ERR,1
695F,107410,0,0,ERR,1
696C,107415,1632167,-80,2144,0
6E02,107422,0,0,ERR,1
6E49,107427,1632179,-81,1559,0
695F,107433,1632185,-81,3357,0
696C,107439,1632191,-80,2162,0
6E02,107444,0,0,ERR,1
6E49,107449,1632201,-80,1577,0
695F,107455,1632207,-82,3310,0
696C,107461,1632213,-80,2162,0
6E02,107466,0,0,ERR,1
6E49,107472,1632224,-81,1634,0
695F,107477,1632229,-81,3300,0
696C,107483,1632235,-80,2191,0
6E02,107490,0,0,ERR,1
6E49,107495,1632247,-80,1634,0
695F,107501,1632253,-81,3300,0
696C,107507,1632259,-80,2153,0
6E02,107512,0,0,ERR,1
6E49,107517,1632269,-80,1615,0
695F,107523,1632275,-81,3292,0
696C,107529,1632281,-80,2144,0
6E02,107536,0,0,ERR,1
6E49,107541,1632293,-80,1615,0
695F,107547,1632299,-81,3292,0
696C,107553,1632305,-80,2144,0
6E02,107558,1632310,-80,698,0
6E49,107564,1632316,-80,1662,0
695F,107570,1632322,-81,3319,0
696C,107575,1632327,-80,2125,0
6E02,107581,1632333,-80,689,0
6E49,107587,1632339,-81,1605,0
695F,107593,1632345,-81,3301,0
696C,107598,1632350,-80,2153,0
6E02,107604,1632356,-80,726,0
6E49,107610,1632362,-80,1587,0
695F,107615,1632367,-81,3301,0
696C,107621,1632373,-80,2191,0
6E02,107627,1632379,-80,679,0
6E49,107633,1632385,-80,1559,0
695F,107638,1632390,-81,3292,0
696C,107644,1632396,-80,2153,0
6E02,107650,1632402,-80,707,0
6E49,107655,1632407,-80,1634,0
695F,107661,1632413,-81,3347,0
696C,107667,1632419,-80,2181,0
6E02,107673,1632425,-80,745,0
6E49,107678,1632430,-80,1559,0
695F,107684,1632436,-81,3301,0
696C,107690,1632442,-80,2162,0
6E02,107695,0,0,ERR,1
6E49,107701,1632453,-80,1652,0
695F,107706,1632458,-81,3324,0
696C,107712,1632464,-80,2200,0
6E02,107719,0,0,ERR,1
6E49,107724,1632476,-80,1671,0
695F,107730,1632482,-82,3277,0
696C,107736,1632488,-80,2172,0
6E02,107741,1632493,-81,717,0
6E49,107747,1632499,-80,1605,0
695F,107753,1632505,-81,3305,0
696C,107759,1632511,-80,2162,0
6E02,107764,1632516,-80,698,0
6E49,107770,1632522,-80,1634,0
695F,107776,1632528,-81,3314,0
696C,107781,1632533,-80,2162,0
6E02,107787,1632539,-80,726,0
6E49,107793,1632545,-80,1671,0
