Æ÷{+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&eì¨+)%&†C‘î%í¯Q«$'C½•©eí¨+-%&C¨•«åíª+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&list size: 4
Calibration result:
Anchors found: 4
ANCHOR,0x6E49,1604,963,1900
ANCHOR,0x695F,539,4778,650
ANCHOR,0x696C,2054,-1132,1900
ANCHOR,0x6E02,3182,1316,1400
Starting positioning: 
6213,2333,1471,1086,0
6226,2320,1443,1050,0
6239,2374,1454,1060,0
6252,2304,1457,1058,0
6267,2316,1474,1089,0
6280,2307,1466,1078,0
6293,2345,1482,1060,0
6306,2340,1457,1045,0
6320,1323,1179,720,0
6333,2319,1458,1044,0
6346,2326,1450,1062,0
6359,2322,1464,1062,0
6372,2323,1458,1062,0
6385,2329,1455,1050,0
6398,2366,1457,1053,0
6411,2299,1465,1054,0
6424,2313,1457,1050,0
6436,2305,1460,1055,0
6447,2351,1445,1083,0
6459,2308,1423,1022,0
6472,2340,1445,1038,0
6485,2312,1456,1073,0
6498,1310,1155,661,0
6509,2320,1464,1081,0
6521,2269,1470,1011,0
6532,2314,1457,1059,0
6545,2307,1435,1039,0
6557,2322,1462,1026,0
6570,2342,1443,1065,0
6581,2282,1460,1034,0
6593,2345,1463,1067,0
6606,2344,1443,997,0
6617,2301,1448,1038,0
6630,2338,1452,1072,0
6643,2358,1476,1080,0
6656,2325,1447,1082,0
6669,2310,1460,1031,0
6681,2326,1449,1056,0
6692,2334,1450,1036,0
6705,2330,1434,1051,0
6717,2284,1456,1037,0
6728,2320,1459,1077,0
6740,2319,1439,1009,0
6751,2285,1454,1039,0
6764,2295,1439,1029,0
6775,2324,1450,1082,0
6788,2333,1445,1036,0
6800,2296,1455,1069,0
6811,2352,1465,1107,0
6824,2342,1452,1032,0
6839,1316,1192,724,0
6852,2345,1474,1049,0
6865,2300,1470,1054,0
6876,2366,1435,1028,0
6888,2313,1453,1079,0
6901,2264,1441,1016,0
6914,2323,1474,1030,0
6928,1321,1155,684,0
6940,2300,1465,1062,0
6953,2270,1444,998,0
6966,2312,1460,1011,0
6977,2318,1467,1052,0
6990,2315,1461,1016,0
7003,2342,1457,1062,0
7015,2294,1478,1060,0
7026,2346,1453,1061,0
7039,2334,1467,1082,0
7052,2282,1443,1019,0
7065,2344,1454,1083,0
7078,2278,1433,1030,0
7090,2318,1441,1016,0
7103,2328,1456,1074,0
7116,2313,1458,1065,0
7129,2310,1455,1034,0
7142,2327,1454,1052,0
7155,2318,1442,1030,0
7168,2323,1453,1031,0
7181,2328,1465,1061,0
7194,2293,1462,1031,0
7207,2385,1471,1090,0
7220,2274,1463,1034,0
7233,2324,1429,1061,0
7246,2355,1460,1054,0
7259,2325,1436,1080,0
7270,2311,1446,1039,0
7285,2316,1440,1032,0
7298,2311,1462,1057,0
7311,2322,1455,1079,0
7324,2309,1453,1008,0
7337,2353,1454,1066,0
7350,2303,1445,1057,0
7361,2309,1451,1044,0
7374,2294,1436,1004,0
7387,2353,1434,1057,0
7400,2349,1429,1064,0
7413,2311,1467,1045,0
7428,2328,1456,1089,0
7441,2342,1464,1075,0
7454,2333,1471,1092,0
7467,2350,1476,1100,0
7480,2320,1459,1085,0
7494,2333,1439,1025,0
7507,2352,1436,1077,0
7520,2336,1458,1089,0
7533,2309,1448,1087,0
7548,2173,1417,1368,0
7559,ERROR,0xA,,1
7571,2318,1459,1055,0
7584,2304,1455,1036,0
7597,2335,1455,1047,0
7611,2296,1458,1033,0
7624,2302,1454,1049,0
7637,2378,1464,1032,0
7650,2319,1439,1071,0
7663,2344,1463,1059,0
7676,2366,1477,1066,0
7689,2352,1474,1063,0
7701,2325,1450,1058,0
7714,2312,1468,1077,0
7727,2362,1447,1080,0
7741,2339,1458,1093,0
7756,2335,1471,1061,0
7767,2352,1470,1096,0
7780,2335,1447,1076,0
7794,2305,1460,1042,0
7807,2332,1470,1056,0
7820,2292,1474,1048,0
7835,2285,1406,1004,0
7849,2302,1460,1052,0
7862,2350,1463,1071,0
7877,2345,1462,1088,0
7890,2286,1449,1041,0
7904,2294,1454,1010,0
7917,2312,1470,1074,0
7930,2319,1451,1077,0
7945,2324,1458,1071,0
7959,2315,1456,1057,0
7972,2278,1444,1037,0
7985,2391,1455,1089,0
7998,2287,1453,994,0
8010,2317,1441,1077,0
8024,2284,1450,1061,0
8037,2329,1438,1055,0
8049,2293,1418,1018,0
8062,2322,1433,1056,0
8076,1295,1161,715,0
8089,2311,1445,1064,0
8102,2293,1455,1042,0
8115,2318,1467,1087,0
8128,2253,1451,1011,0
8141,2325,1441,1051,0
8153,2316,1461,1060,0
